date;heure;ville;temperature;humidite;pluie_1h;pluie_24h
05/01/2026;20:31;Varanges;-5.5;96;0;0
05/01/2026;20:56;Varanges;-5.5;96;0;0
05/01/2026;21:29;Varanges;-5.7;95;0;0
05/01/2026;21:29;Genlis;-5.6;97;0;0
05/01/2026;21:47;Varanges;-5.8;95;0;0
05/01/2026;21:47;Genlis;-5.6;97;0;0
05/01/2026;22:26;Varanges;-5.9;95;0;0
05/01/2026;22:26;Genlis;-5.7;97;0;0
05/01/2026;22:48;Varanges;-5.9;95;0;0
05/01/2026;22:48;Genlis;-5.7;97;0;0
05/01/2026;23:25;Varanges;-5.9;96;0;0
05/01/2026;23:25;Genlis;-5.7;97;0;0
05/01/2026;23:43;Varanges;-5.9;95;0;0
05/01/2026;23:43;Genlis;-5.8;97;0;0
05/01/2026;23:56;Varanges;-5.9;95;0;0
05/01/2026;23:56;Genlis;-5.8;97;0;0
06/01/2026;02:19;Varanges;-5.7;96;0;0
06/01/2026;02:19;Genlis;-5.7;97;0;0
06/01/2026;03:50;Varanges;-5.5;96;0;0
06/01/2026;03:50;Genlis;-5.3;97;0;0
06/01/2026;04:43;Varanges;-5.6;96;0;0
06/01/2026;04:43;Genlis;-5.3;97;0;0
06/01/2026;05:13;Varanges;-5.4;96;0;0
06/01/2026;05:13;Genlis;-5.2;97;0;0
06/01/2026;05:43;Varanges;-5.4;96;0;0
06/01/2026;05:43;Genlis;-5.3;97;0;0
06/01/2026;05:57;Varanges;-5.3;96;0;0
06/01/2026;05:57;Genlis;-5.3;97;0;0
06/01/2026;06:48;Varanges;-5;96;0;0
06/01/2026;06:48;Genlis;-5.1;97;0;0
06/01/2026;07:30;Varanges;-4.8;96;0;0
06/01/2026;07:30;Genlis;-4.9;97;0;0
06/01/2026;07:55;Varanges;-4.7;96;0;0
06/01/2026;07:55;Genlis;-4.7;98;0;0
06/01/2026;08:37;Varanges;-4.3;97;0;0
06/01/2026;09:01;Varanges;-4;97;0;0
06/01/2026;09:01;Genlis;-3.9;98;0;0
06/01/2026;09:42;Varanges;-3.5;97;0;0
06/01/2026;09:42;Genlis;-3.3;98;0;0
06/01/2026;09:57;Varanges;-3.2;97;0;0
06/01/2026;09:57;Genlis;-3;97;0;0
06/01/2026;10:34;Varanges;-2.9;97;0;0
06/01/2026;10:34;Genlis;-2.5;97;0;0
06/01/2026;10:57;Varanges;-2.5;97;0;0
06/01/2026;10:57;Genlis;-2.3;97;0;0
06/01/2026;11:27;Varanges;-2.3;97;0;0
06/01/2026;11:27;Genlis;-2.1;97;0;0
06/01/2026;11:44;Varanges;-2.2;97;0;0
06/01/2026;11:44;Genlis;-2.1;97;0;0
06/01/2026;11:57;Varanges;-2.3;97;0;0
06/01/2026;11:57;Genlis;-2.1;97;0;0
06/01/2026;13:02;Varanges;-2.3;97;0;0
06/01/2026;13:02;Genlis;-2.1;97;0;0
06/01/2026;13:50;Varanges;-2.1;97;0;0
06/01/2026;13:50;Genlis;-1.9;97;0;0
06/01/2026;14:28;Varanges;-1.8;97;0;0
06/01/2026;14:52;Varanges;-1.6;96;0;0
06/01/2026;14:52;Genlis;-1.5;97;0;0
06/01/2026;15:28;Varanges;-1.6;96;0;0
06/01/2026;15:28;Genlis;-1.7;97;0;0
06/01/2026;15:49;Varanges;-1.7;96;0;0
06/01/2026;15:49;Genlis;-2.2;95;0;0
06/01/2026;16:35;Varanges;-1.9;95;0;0
06/01/2026;16:35;Genlis;-2.2;97;0;0
06/01/2026;17:02;Varanges;-2.5;94;0;0
06/01/2026;17:40;Varanges;-2.3;95;0;0
06/01/2026;17:56;Varanges;-2.2;95;0;0
06/01/2026;17:56;Genlis;-2.2;97;0;0
06/01/2026;18:43;Varanges;-1.7;95;0;0
06/01/2026;18:43;Genlis;-2;97;0;0
06/01/2026;18:59;Varanges;-1.6;95;0;0
06/01/2026;19:26;Varanges;-1.6;94;0;0
06/01/2026;19:43;Varanges;-1.7;94;0;0
06/01/2026;19:55;Varanges;-1.8;94;0;0
06/01/2026;20:31;Varanges;-1.9;95;0;0
06/01/2026;20:53;Varanges;-1.9;95;0;0
06/01/2026;20:53;Genlis;-1.9;96;0;0
06/01/2026;21:26;Varanges;-2.2;94;0;0
06/01/2026;21:26;Genlis;-2;96;0;0
06/01/2026;21:45;Varanges;-2.3;95;0;0
06/01/2026;21:45;Genlis;-2.1;96;0;0
06/01/2026;22:26;Varanges;-2.8;95;0;0
06/01/2026;22:26;Genlis;-2.5;96;0;0
06/01/2026;22:48;Varanges;-3;95;0;0
06/01/2026;22:48;Genlis;-3;95;0;0
06/01/2026;23:26;Varanges;-3.7;95;0;0
06/01/2026;23:26;Genlis;-4.5;94;0;0
06/01/2026;23:42;Varanges;-4.3;94;0;0
06/01/2026;23:42;Genlis;-4.9;93;0;0
07/01/2026;03:47;Varanges;-4.6;96;0;0
07/01/2026;03:47;Genlis;-4.8;97;0;0
07/01/2026;04:44;Varanges;-4.8;96;0;0
07/01/2026;04:44;Genlis;-5;97;0;0
07/01/2026;05:14;Varanges;-5.1;96;0;0
07/01/2026;05:14;Genlis;-5.3;96;0;0
07/01/2026;05:44;Varanges;-5.3;96;0;0
07/01/2026;05:44;Genlis;-5.4;96;0;0
07/01/2026;07:30;Varanges;-5.8;96;0;0
07/01/2026;07:30;Genlis;-6.1;97;0;0
07/01/2026;07:48;Varanges;-5.7;96;0;0
07/01/2026;07:48;Genlis;-6.3;96;0;0
07/01/2026;08:37;Varanges;-5.5;96;0;0
07/01/2026;08:37;Genlis;-6.8;96;0;0
07/01/2026;09:03;Varanges;-4.4;97;0;0
07/01/2026;09:43;Varanges;-3.6;97;0;0
07/01/2026;09:58;Varanges;-2.5;98;0;0
07/01/2026;09:58;Genlis;-1.6;97;0;0
07/01/2026;10:35;Varanges;-2.2;97;0;0
07/01/2026;10:35;Genlis;-1.5;96;0;0
07/01/2026;10:57;Varanges;-2.1;96;0;0
07/01/2026;10:57;Genlis;-1.7;96;0;0
07/01/2026;11:28;Varanges;-1.7;96;0;0
07/01/2026;11:28;Genlis;-1.6;96;0;0
07/01/2026;11:46;Varanges;-1.6;96;0;0
07/01/2026;11:46;Genlis;-1.5;96;0;0
07/01/2026;12:56;Varanges;-1.4;95;0;0
07/01/2026;12:56;Genlis;-1.3;95;0;0
07/01/2026;13:44;Varanges;-0.9;93;0;0
07/01/2026;13:44;Genlis;-0.8;88;0;0
07/01/2026;14:01;Varanges;-1.1;92;0;0
07/01/2026;14:01;Genlis;-0.9;87;0;0
07/01/2026;14:44;Varanges;-1.3;91;0;0
07/01/2026;14:44;Genlis;-1.3;89;0;0
07/01/2026;15:01;Varanges;-1.6;92;0;0
07/01/2026;15:01;Genlis;-1.5;91;0;0
07/01/2026;15:42;Varanges;-2;92;0;0
07/01/2026;15:42;Genlis;-1.8;93;0;0
07/01/2026;15:59;Varanges;-2;93;0;0
07/01/2026;15:59;Genlis;-2.1;94;0;0
